Série,Locais,Sentido
0337,Av. Martins Fontes oposto nº 465,Centro/Bairro
0338,Av. Martins Fontes próximo nº 465,Bairro/Centro
0339,Av. Sergio Costa Matte próximo Rua Manoel Tourinho,Centro/Ponta da Praia
0340,Av. Sergio Costa Matte próximo Viaduto Santa,Ponta da Praia/Centro
0800,Av. Eng. Manoel Ferramenta Jr. próximo nº 228,"São Jorge/Rádio Clube
Rádio Clube/São Jorge"
0801,Av. Gercino Hugo Caparelli próximo Rua Yara N. Santini,"São Vicente/Santos
Santos/São Vicente"
0802,"Av. Pref. Antônio Manoel de Carvalho próximo nº 01
Av. Dr. Nilo Peçanha próximo nº 1446","Morro/Praia
Marapé/Praia"
0803,Av. Gal. Francisco Glycerio/R. Vidal Sion próximo nº 132,Ponta da Praia/José Menino
0804,Av. Bernardino de Campos x R. Joaquim Távora,Praia/Centro
0805,Av. Bernardino de Campos x R. Joaquim Távora,Centro/Praia
0806,Rua Gov. Pedro de Toledo x Av. Cons. Nébias,José Menino/Ponta da Praia
0807,Rua Galeão Carvalhal x Av. Washington Luis,José Menino/Ponta da Praia
0808,Av. Senador Feijó x Av. Rangel Pestana,Centro/Praia
0810,Av. N. Senhora de Fátima defr. nº 400,"São Vicente/Santos
Santos/São Vicente"
0810,Av. Nossa Senhora de Fátima nº 400,"São Vicente/Santos
Santos/São Vicente"
0811,Av. Jovino de Mello x Rua João Fraccaroli,"Bom Retiro/Caneleira
Caneleira/Bom Retiro"
0812,Rua João Pessoa x Av. Senador Feijó,Cais/Morro
0815,Av. Affonso Pena defronte nº 170,José Menino/Ponta da Praia
0816,Av. Affonso Pena oposto nº 176,Ponta da Praia/José Menino
0817,Av. Martins Fontes x Rua Pio XII,Bairro/Centro
0818,Av. Martins Fontes oposto nº 975 (perto Pio XII),Centro/Bairro
1343,Rua Eduardo Alves próximo nº 186,São Jorge/Santa Maria
1384,Rua Carvalho de Mendonça x Av. Bernardino de Campos,Marapé/Encruzilhada
1385,Av. Bernardino de Campos x Rua Carvalho de Mendonça,"Centro/Praia
Marapé/Encruzilhada"
5015,Av. Sen. Pinheiro Machado x Av. Gal. Francisco Glycério,Centro/Praia
5100,Av. Presidente Wilson próximo nº 185,Ponta da Praia/José Menino
5101,Av. Presidente Wilson próximo nº 1935,José Menino/Ponta da Praia
5102,Av. Vicente de Carvalho próximo Rua da Paz,José Menino/Ponta da Praia
5103,Av. Vicente de Carvalho próximo Rua da Paz,Ponta da Praia/José Menino
5104,Av. Presidente Wilson próximo nº 26,Ponta da Praia/José Menino
5105,Av. Presidente Wilson próximo nº 26,José Menino/Ponta da Praia
5106,Av. Waldemar Leão x Av. Rangel Pestana,Praia/Centro
5107,Av. Waldemar Leão x Av. Rangel Pestana,Centro/Praia
5108,Av. Rangel Pestana x Av. Senador Feijó,Cais/Morro
5109,Av. Bartholomeu de Gusmão x Av. Cel. Joaquim Montenegro,José Menino/Ponta da Praia
5110,Av. Bartholomeu de Gusmão x Av. Cel. Joaquim Montenegro,Ponta da Praia/José Menino
5111,Av. Bartholomeu de Gusmão defronte nº 108,Ponta da Praia/José Menino
5112,Av. Bartholomeu de Gusmão defronte nº 108,José Menino/Ponta da Praia
5113,Av. Presidente Wilson x Av. Pinheiro Machado,José Menino/Ponta da Praia
5114,Av. Presidente Wilson x Av. Pinheiro Machado,Ponta da Praia/José Menino
5115,Av. Gal. Francisco Glycerio x Av. Sen. Pinheiro Machado,Ponta da Praia/José Menino
5116,Viaduto Prefeito Paulo Gomes Barbosa,Centro/Bairro
5150,Av. Bernardino de Campos x Rua Carvalho de Mendonça,Praia/Centro
