Data,Equipamento,Número(s) CE,Inoperância (Minutos)
30/01/2024,337,CE: 009,120
31/01/2024,337,CE: 009,180
01/01/2024,806,CE: 134,360
01/01/2024,807,CE: 134,360
30/01/2024,810,CE: 009,120
31/01/2024,810,CE: 009,180
30/01/2024,818,CE: 009,120
31/01/2024,818,CE: 009,180
01/01/2024,1385,CE: 134,360
01/01/2024,5015,CE: 134,360
01/01/2024,5100,CE: 134,360
01/01/2024,5101,CE: 134,360
01/01/2024,5102,CE: 134,360
01/01/2024,5103,CE: 134,360
01/01/2024,5104,CE: 134,360
01/01/2024,5105,CE: 134,360
30/01/2024,5107,CE: 010,120
31/01/2024,5107,CE: 010,180
01/01/2024,5109,CE: 134,360
03/01/2024,5109,CE: 135,660
01/01/2024,5110,CE: 134,360
03/01/2024,5110,CE: 135,660
01/01/2024,5111,CE: 134,360
01/01/2024,5112,CE: 134,360
01/01/2024,5113,CE: 134,360
01/01/2024,5114,CE: 134,360
01/01/2024,5115,CE: 134,360
30/01/2024,5116,CE: 009,120
31/01/2024,5116,CE: 009,180
01/02/2024,337,CE: 009 | CE: 010,180
02/02/2024,337,CE: 009 | CE: 010,180
03/02/2024,337,CE: 009 | CE: 010,180
04/02/2024,337,CE: 009 | CE: 010,180
05/02/2024,337,CE: 009 | CE: 010,180
06/02/2024,337,CE: 009 | CE: 010,180
07/02/2024,337,CE: 009 | CE: 010,180
01/02/2024,810,CE: 009 | CE: 010,180
02/02/2024,810,CE: 009 | CE: 010,180
03/02/2024,810,CE: 009 | CE: 010,180
04/02/2024,810,CE: 009 | CE: 010,180
05/02/2024,810,CE: 009 | CE: 010,180
06/02/2024,810,CE: 009 | CE: 010,180
07/02/2024,810,CE: 009 | CE: 010,180
01/02/2024,818,CE: 009 | CE: 010,180
02/02/2024,818,CE: 009 | CE: 010,180
03/02/2024,818,CE: 009 | CE: 010,180
04/02/2024,818,CE: 009 | CE: 010,180
05/02/2024,818,CE: 009 | CE: 010,180
06/02/2024,818,CE: 009 | CE: 010,180
07/02/2024,818,CE: 009 | CE: 010,180
01/02/2024,5107,CE: 010,180
02/02/2024,5107,CE: 010,180
03/02/2024,5107,CE: 010,180
04/02/2024,5107,CE: 010,180
05/02/2024,5107,CE: 010,180
06/02/2024,5107,CE: 010,180
07/02/2024,5107,CE: 010,180
01/02/2024,5116,CE: 009 | CE: 010,180
02/02/2024,5116,CE: 009 | CE: 010,180
03/02/2024,5116,CE: 009 | CE: 010,180
04/02/2024,5116,CE: 009 | CE: 010,180
05/02/2024,5116,CE: 009 | CE: 010,180
06/02/2024,5116,CE: 009 | CE: 010,180
07/02/2024,5116,CE: 009 | CE: 010,180
08/03/2024,337,CE: 016,600
08/03/2024,338,CE: 016,600
08/03/2024,806,CE: 016,600
15/03/2024,806,CE: 019,420
22/03/2024,806,CE: 022,360
08/03/2024,807,CE: 016,600
15/03/2024,807,CE: 019,420
22/03/2024,807,CE: 022,360
08/03/2024,808,CE: 016,600
08/03/2024,812,CE: 016,600
08/03/2024,817,CE: 016,600
08/03/2024,818,CE: 016,600
08/03/2024,5100,CE: 016,600
15/03/2024,5100,CE: 019,420
22/03/2024,5100,CE: 022,360
08/03/2024,5101,CE: 016,600
15/03/2024,5101,CE: 019,420
22/03/2024,5101,CE: 022,360
08/03/2024,5102,CE: 016,600
15/03/2024,5102,CE: 019,420
22/03/2024,5102,CE: 022,360
08/03/2024,5103,CE: 016,600
15/03/2024,5103,CE: 019,420
22/03/2024,5103,CE: 022,360
08/03/2024,5104,CE: 016,600
15/03/2024,5104,CE: 019,420
22/03/2024,5104,CE: 022,360
08/03/2024,5105,CE: 016,600
15/03/2024,5105,CE: 019,420
22/03/2024,5105,CE: 022,360
08/03/2024,5108,CE: 016,600
03/03/2024,5109,CE: 023,120
04/03/2024,5109,CE: 023,120
05/03/2024,5109,CE: 023,120
08/03/2024,5109,CE: 016,1140
10/03/2024,5109,CE: 023,120
11/03/2024,5109,CE: 023,120
12/03/2024,5109,CE: 023,120
15/03/2024,5109,CE: 019,420
17/03/2024,5109,CE: 023,120
18/03/2024,5109,CE: 023,120
19/03/2024,5109,CE: 023,120
24/03/2024,5109,CE: 023,120
25/03/2024,5109,CE: 023,120
26/03/2024,5109,CE: 023,120
08/03/2024,5110,CE: 016,1140
15/03/2024,5110,CE: 019,420
08/03/2024,5111,CE: 016,600
15/03/2024,5111,CE: 019,420
22/03/2024,5111,CE: 022,360
03/03/2024,5112,CE: 023,120
04/03/2024,5112,CE: 023,120
05/03/2024,5112,CE: 023,120
08/03/2024,5112,CE: 016,600
10/03/2024,5112,CE: 023,120
11/03/2024,5112,CE: 023,120
12/03/2024,5112,CE: 023,120
15/03/2024,5112,CE: 019,420
17/03/2024,5112,CE: 023,120
18/03/2024,5112,CE: 023,120
19/03/2024,5112,CE: 023,120
22/03/2024,5112,CE: 022,360
24/03/2024,5112,CE: 023,120
25/03/2024,5112,CE: 023,120
26/03/2024,5112,CE: 023,120
08/03/2024,5113,CE: 016,600
15/03/2024,5113,CE: 019,420
22/03/2024,5113,CE: 022,360
08/03/2024,5114,CE: 016,600
15/03/2024,5114,CE: 019,420
22/03/2024,5114,CE: 022,360
12/04/2024,806,CE: 037,540
26/04/2024,806,CE: 040,600
12/04/2024,807,CE: 037,540
26/04/2024,807,CE: 040,600
05/04/2024,808,CE: 032,240
19/04/2024,808,CE: 033,240
05/04/2024,812,CE: 032,240
19/04/2024,812,CE: 033,240
12/04/2024,5100,CE: 037,540
12/04/2024,5101,CE: 037,540
12/04/2024,5102,CE: 037,540
26/04/2024,5102,CE: 040,600
12/04/2024,5103,CE: 037,540
26/04/2024,5103,CE: 040,600
12/04/2024,5104,CE: 037,540
26/04/2024,5104,CE: 040,600
12/04/2024,5105,CE: 037,540
26/04/2024,5105,CE: 040,600
05/04/2024,5108,CE: 032,240
14/04/2024,5108,CE: 031,120
15/04/2024,5108,CE: 031,120
16/04/2024,5108,CE: 031,120
19/04/2024,5108,CE: 033,240
22/04/2024,5108,CE: 031,120
23/04/2024,5108,CE: 031,120
01/04/2024,5109,CE: 031,120
02/04/2024,5109,CE: 031,120
07/04/2024,5109,CE: 031,120
08/04/2024,5109,CE: 031,120
09/04/2024,5109,CE: 031,120
12/04/2024,5109,CE: 037,540
26/04/2024,5109,CE: 040,600
28/04/2024,5109,CE: 031,120
29/04/2024,5109,CE: 031,120
30/04/2024,5109,CE: 031,120
12/04/2024,5110,CE: 037,540
26/04/2024,5110,CE: 040,600
12/04/2024,5111,CE: 037,540
26/04/2024,5111,CE: 040,600
01/04/2024,5112,CE: 031,120
02/04/2024,5112,CE: 031,120
07/04/2024,5112,CE: 031,120
08/04/2024,5112,CE: 031,120
09/04/2024,5112,CE: 031,120
12/04/2024,5112,CE: 037,540
14/04/2024,5112,CE: 031,120
15/04/2024,5112,CE: 031,120
16/04/2024,5112,CE: 031,120
22/04/2024,5112,CE: 031,120
23/04/2024,5112,CE: 031,120
26/04/2024,5112,CE: 040,600
28/04/2024,5112,CE: 031,120
29/04/2024,5112,CE: 031,120
30/04/2024,5112,CE: 031,120
12/04/2024,5113,CE: 037,540
12/04/2024,5114,CE: 037,540
17/05/2024,806,CE: 047,840
17/05/2024,807,CE: 047,840
10/05/2024,808,CE: 044,180
10/05/2024,812,CE: 044,180
16/05/2024,812,CE: 048,480
17/05/2024,5102,CE: 047,840
17/05/2024,5103,CE: 047,840
17/05/2024,5104,CE: 047,840
17/05/2024,5105,CE: 047,840
16/05/2024,5106,CE: 048,480
16/05/2024,5107,CE: 048,480
10/05/2024,5108,CE: 044,180
05/05/2024,5109,CE: 031,120
06/05/2024,5109,CE: 031,120
07/05/2024,5109,CE: 031,120
12/05/2024,5109,CE: 031,120
13/05/2024,5109,CE: 031,120
14/05/2024,5109,CE: 031,120
17/05/2024,5109,CE: 047,840
19/05/2024,5109,CE: 031,120
20/05/2024,5109,CE: 031,120
21/05/2024,5109,CE: 031,120
24/05/2024,5109,CE: 050,900
26/05/2024,5109,CE: 031,120
27/05/2024,5109,CE: 031,120
28/05/2024,5109,CE: 031,120
17/05/2024,5110,CE: 047,840
24/05/2024,5110,CE: 050,900
17/05/2024,5111,CE: 047,840
24/05/2024,5111,CE: 050,900
05/05/2024,5112,CE: 031,120
06/05/2024,5112,CE: 031,120
07/05/2024,5112,CE: 031,120
12/05/2024,5112,CE: 031,120
13/05/2024,5112,CE: 031,120
14/05/2024,5112,CE: 031,120
17/05/2024,5112,CE: 047,840
19/05/2024,5112,CE: 031,120
20/05/2024,5112,CE: 031,120
21/05/2024,5112,CE: 031,120
24/05/2024,5112,CE: 050,900
26/05/2024,5112,CE: 031,120
27/05/2024,5112,CE: 031,120
28/05/2024,5112,CE: 031,120
02/06/2024,5109,CE: 031,120
03/06/2024,5109,CE: 031,120
09/06/2024,5109,CE: 031,120
10/06/2024,5109,CE: 031,120
11/06/2024,5109,CE: 031,120
16/06/2024,5109,CE: 031,120
17/06/2024,5109,CE: 031,120
18/06/2024,5109,CE: 031,120
23/06/2024,5109,CE: 031,120
24/06/2024,5109,CE: 031,120
25/06/2024,5109,CE: 031,120
30/06/2024,5109,CE: 031,120
02/06/2024,5112,CE: 031,120
03/06/2024,5112,CE: 031,120
09/06/2024,5112,CE: 031,120
10/06/2024,5112,CE: 031,120
11/06/2024,5112,CE: 031,120
16/06/2024,5112,CE: 031,120
17/06/2024,5112,CE: 031,120
18/06/2024,5112,CE: 031,120
23/06/2024,5112,CE: 031,120
24/06/2024,5112,CE: 031,120
25/06/2024,5112,CE: 031,120
30/06/2024,5112,CE: 031,120
01/07/2024,5109,CE: 031,120
02/07/2024,5109,CE: 031,120
07/07/2024,5109,CE: 031,120
08/07/2024,5109,CE: 031,120
14/07/2024,5109,CE: 031,120
15/07/2024,5109,CE: 031,120
16/07/2024,5109,CE: 031,120
21/07/2024,5109,CE: 031,120
22/07/2024,5109,CE: 031,120
23/07/2024,5109,CE: 031,120
28/07/2024,5109,CE: 031,120
29/07/2024,5109,CE: 031,120
30/07/2024,5109,CE: 031,120
01/07/2024,5112,CE: 031,120
02/07/2024,5112,CE: 031,120
07/07/2024,5112,CE: 031,120
08/07/2024,5112,CE: 031,120
14/07/2024,5112,CE: 031,120
15/07/2024,5112,CE: 031,120
16/07/2024,5112,CE: 031,120
21/07/2024,5112,CE: 031,120
22/07/2024,5112,CE: 031,120
23/07/2024,5112,CE: 031,120
28/07/2024,5112,CE: 031,120
29/07/2024,5112,CE: 031,120
30/07/2024,5112,CE: 031,120
04/08/2024,5109,CE: 031,120
05/08/2024,5109,CE: 031,120
06/08/2024,5109,CE: 031,120
11/08/2024,5109,CE: 031,120
12/08/2024,5109,CE: 031,120
13/08/2024,5109,CE: 031,120
18/08/2024,5109,CE: 031,120
19/08/2024,5109,CE: 031,120
20/08/2024,5109,CE: 031,120
25/08/2024,5109,CE: 031,120
26/08/2024,5109,CE: 031,120
27/08/2024,5109,CE: 031,120
04/08/2024,5112,CE: 031,120
05/08/2024,5112,CE: 031,120
06/08/2024,5112,CE: 031,120
11/08/2024,5112,CE: 031,120
12/08/2024,5112,CE: 031,120
13/08/2024,5112,CE: 031,120
18/08/2024,5112,CE: 031,120
19/08/2024,5112,CE: 031,120
20/08/2024,5112,CE: 031,120
25/08/2024,5112,CE: 031,120
26/08/2024,5112,CE: 031,120
27/08/2024,5112,CE: 031,120
01/09/2024,5109,CE: 031,120
02/09/2024,5109,CE: 031,120
03/09/2024,5109,CE: 031,120
08/09/2024,5109,CE: 031,120
09/09/2024,5109,CE: 031,120
10/09/2024,5109,CE: 031,120
15/09/2024,5109,CE: 031,120
16/09/2024,5109,CE: 031,120
17/09/2024,5109,CE: 031,120
22/09/2024,5109,CE: 031,120
23/09/2024,5109,CE: 031,120
24/09/2024,5109,CE: 031,120
29/09/2024,5109,CE: 031,120
30/09/2024,5109,CE: 031,120
01/09/2024,5112,CE: 031,120
02/09/2024,5112,CE: 031,120
03/09/2024,5112,CE: 031,120
08/09/2024,5112,CE: 031,120
09/09/2024,5112,CE: 031,120
10/09/2024,5112,CE: 031,120
15/09/2024,5112,CE: 031,120
